Year,Toei Animation,Bandai Namco Holdings,Kadokawa Corporation,Avex Group (Anime Music / Production),Bushiroad (Media Mix / Anime IP),TV Tokyo Holdings,Fuji Media Holdings,Nippon TV Holdings (Owns Studio Ghibli),Tokyo Broadcasting System (TBS),Asahi Broadcasting Group,WOWOW (Anime channel),Kadokawa Pictures (covered by Kadokawa),Happinet (anime distributor),Square Enix Holdings,Media Do (digital manga),Takara Tomy,Pony Canyon,Netflix (Anime Production),Amazon (Anime Licensing),Disney (Anime streaming),Rakuten (Rakuten TV),Sega Sammy Holdings,Konami Group,Capcom,Koei Tecmo,SoftBank Group,LINE Yahoo Japan (Z Holdings),GREE (anime mobile games),DeNA (anime mobile games),TotalValue_USD
2000,230005882.72,,,,,,,,,422673982.83,,,,,,,,,8318324206.12,50964363042.96,1228093628.44,,10138057988.02,,,8226045563.78,,,,79527564294.87
2001,415745559.60,19512447329.28,,1264885646.24,,,4188398091.67,5320628487.00,2380753596.07,191329968.84,323270909.64,,92152453.79,2205651600.84,,583269127.36,,,5783406953.71,36491805525.42,1090364559.99,2097827110.99,4023770668.91,1384445647.16,808234323.16,3841016158.64,,,,91999403718.28
2002,408625942.00,22343779722.45,,515421001.47,,,4185418240.42,3731599706.84,1974007874.46,158694892.41,236744180.51,,74581099.94,2058906182.66,,366398588.16,17313223.86,333235826.28,10096909333.34,28724967503.23,1651638183.33,1038012413.54,3134388802.03,788478168.34,678469061.62,2714989980.77,,,,85232579927.65
2003,348926427.90,16341580481.13,,776871275.44,,,5626468858.00,3737134482.25,2502133851.62,273492508.89,161610998.11,,90223306.41,2837258198.00,,658129510.35,31243541.57,1655280704.06,28125958773.52,41088503425.07,9554004360.84,1002567950.15,3954156536.46,645261883.42,871803330.92,7281146435.40,28820717534.00,,,156384474373.50
2004,284567652.27,14657166149.00,,533202701.67,,851223802.09,4476665995.78,3736122955.98,2545758861.76,280194936.58,329058246.91,,137620575.85,3538701188.91,,687484716.69,60424671.39,746374868.34,23673482826.22,48961010628.07,24614617712.45,5751562415.04,3128431678.59,494862829.51,705814282.16,11513046500.21,40938430429.64,,,192645826625.14
2005,526058381.29,3157806822.39,,1093161113.05,,910811182.02,5231588957.16,3844640985.32,4258594014.06,563296609.08,315102331.54,,279569868.28,3376795185.34,,807252139.13,131956185.44,1638026278.86,25202185061.53,42215661784.73,20950169036.65,7049851681.19,2985904200.92,614682851.36,841502740.43,30110346041.10,52042068990.84,,1075634423.56,209222666865.28
2006,281250051.76,3167103792.60,,681727489.82,,1081655608.40,4747496324.13,3710797493.29,5235104265.65,571512519.02,402796412.31,,175629792.31,3153914183.33,,601782944.87,68311245.83,1565390091.42,21091796719.84,60355891961.46,10106347596.80,5676837791.22,4104493539.50,943294252.61,686722264.07,13869345507.73,27310423105.98,,1218971366.26,170808596320.21
2007,290747561.20,3311528106.94,,523825324.35,,965963314.89,3372377377.90,3289628791.36,3305329628.47,660396976.14,273816919.38,,157582662.21,3610689059.76,,644119799.80,37604531.51,1611394778.08,49517080236.71,57629121769.57,10460023096.06,2572890330.74,4358197095.22,1311277804.85,1026049688.24,14453920366.63,30087686618.80,,1762752595.36,195234004434.18
2008,256033546.80,2320906540.21,,465112458.47,,1248294314.71,2932452928.98,2604321226.20,2359040441.47,468826710.22,187558316.64,,177060315.84,3811705201.33,,573569497.91,27764773.17,1809337007.59,27409712689.98,40508204869.19,13613264745.55,2400645256.91,3409401198.25,1153549072.36,800270415.45,12595768819.28,27582214914.18,1016917960.68,1165855366.04,150897788587.38
2009,239775795.57,2083517738.83,,341524558.67,,520533817.79,2908479701.52,3262398054.32,2216131710.28,263088071.37,259588940.15,,143247254.81,2553507928.73,,734471543.15,29321659.96,3334773470.60,71902391095.67,57575565283.50,16643246620.49,2546853886.41,2440814613.42,870387147.09,659760545.61,16806686242.46,20736559153.69,2131379903.51,2222332220.54,213426336958.17
2010,259827784.73,2284818143.54,,612603045.97,,383761067.80,3235408156.79,3873787306.93,2194989542.70,222253002.40,247742037.31,,143972567.58,2101484008.21,,741428116.13,28635460.27,10635681542.99,96211944099.00,66966181616.91,17876334809.00,3944557176.29,2840966981.39,829146721.73,691272084.69,24312752929.84,26201669230.79,2149245846.53,3941938475.55,272932401755.06
2011,304060566.24,3034220698.60,,537658825.74,,348426997.12,3106964848.12,3775648849.08,1991314124.29,211773713.93,350647600.70,,198598762.67,2329858170.66,,616894659.50,48843101.91,4194344245.61,92523816720.61,66948331725.00,22998596588.20,4486043209.05,4008646463.00,1219504820.27,725803458.65,20716970260.19,21786945822.63,5829894902.95,3302507672.84,265596316807.55
2012,325941704.97,2813617065.81,,867254369.56,,287804657.01,3151504882.79,3356578694.45,1654429304.99,220489847.10,304155432.16,,179415791.56,1536223314.89,,494888461.93,103817827.44,5604766782.05,134092723963.06,88889533276.82,17033586461.94,3571160757.00,3057096532.09,803194518.21,755166979.95,26108358932.07,22277998126.16,2676199735.80,3698445131.42,323864352551.23
2013,335070240.45,4802227736.86,,915890602.81,,425491550.56,4254115170.79,4523520578.01,1952329228.65,272942288.49,482969816.16,,194494997.29,2108570552.52,546378737.41,397458590.29,91758737.27,22286503276.35,213157570796.68,136396070558.53,32285911138.52,5366916939.27,3139493879.44,940734003.62,1053308826.83,62483859837.47,38210348890.85,1697493239.09,2351312348.77,540672742562.98
2014,386827841.58,4594469770.24,1159131419.41,698130992.51,40592271.04,604050277.33,2572800184.33,3684427660.77,1848730859.98,316830149.09,591816944.99,1159131419.41,275142340.91,2503071916.75,271139450.60,468671168.39,125052244.92,20678744538.09,165885426135.09,168156360763.36,30248708613.85,2716824359.63,2498967266.67,788471959.98,1319697791.37,42647222696.30,24745136915.45,1030164403.09,1338655917.50,483354398272.64
2015,671140265.65,4597294982.73,1107483767.72,508910702.61,27307873.82,505749650.83,2469199844.45,4600063229.14,2514256768.15,292024098.88,719329039.91,1107483767.72,215286683.74,2931034055.93,177843659.59,586383831.85,104742933.08,48466503199.10,361270488345.52,187598155206.64,25239247882.83,1982963881.85,3252907804.00,1271628064.47,1604185270.87,36334575875.50,28118653857.85,820082281.37,1759108416.11,720854035241.91
2016,702640108.01,5943626037.87,1056992091.64,610577804.49,21029534.38,527120874.56,2899572286.56,4527691652.84,2503982811.36,249480893.25,848285061.65,1056992091.64,239664347.10,3084570289.05,178780833.60,942042907.41,151738286.45,52458063434.12,400813611398.51,186062805709.43,21181233575.31,3122884645.24,5464544690.07,1228025806.44,1881180546.31,47239070077.84,26269471501.46,902937161.24,2431789352.09,774600405809.90
2017,1323383450.49,7023543580.60,900256437.75,602541654.36,35827574.77,573830498.90,3247965262.59,4263198971.77,3896824501.44,335152899.11,830976797.97,900256437.75,425118638.05,5689996287.89,318432453.49,1202692728.60,217826873.01,81339655213.88,625094338415.70,191936407647.25,19744367847.17,2596333930.82,7423362868.69,1651003002.43,2153556320.46,56120528391.23,31281859061.24,1071525814.34,2287448297.99,1054488211859.72
2018,1491039542.95,9586969670.60,762783462.81,534863055.29,20715391.50,566361803.41,2832324053.72,3644138333.98,2460890880.15,273307464.32,775828740.52,762783462.81,278887214.83,3238461878.70,289751522.65,881952020.56,178585054.14,113416199686.60,802819220378.51,195756924688.03,14374321095.94,2913405580.51,5875688277.98,2048886910.41,2104973643.13,46938960944.99,16932026095.95,672380317.42,1844411250.54,1234277042422.95
2019,2088975259.74,13062574353.75,1398698558.10,488504712.42,18786875.62,593324892.00,2947733652.26,3334316654.49,2670726293.94,295658128.20,715281410.75,1398698558.10,282831383.75,5957691645.22,575778873.72,1149732370.09,217797552.43,137107064717.42,987690419418.90,258206334514.21,18479736429.85,3038542261.92,5550120812.80,2892513734.09,3346626431.33,61852851681.74,28829288613.39,771164960.77,1786118161.09,1546747892912.10
2020,3188172106.42,18576102588.95,2646487719.14,468939718.63,12123381.25,591123296.34,2201503086.31,2708156431.37,2739831804.43,278895933.28,774787905.35,2646487719.14,332043214.45,7256054042.97,1084802986.97,780038911.43,225808082.45,229124792851.90,1740864225096.49,323458620042.43,20754798095.79,3299285405.05,7582561642.24,6757025696.96,7807175807.46,110711595864.27,41251892615.76,999778309.61,1977255359.60,2541100365716.46
2021,4076539716.58,16909998477.53,3826729414.47,534009778.28,10410603.47,473719703.58,2003361525.53,2542396216.11,2279895813.56,258880085.26,433558031.75,3826729414.47,287158845.40,6178330211.93,542262380.32,851070471.66,375384076.24,255273305096.64,1782240691812.52,276523388267.29,21768619704.41,3310422617.54,6519585554.17,4934604819.47,6585796455.53,67449453788.54,39834570637.95,1264517083.90,1720253889.33,2512835644493.43
2022,4048638888.75,13385218617.19,2624079748.19,534011749.21,14155031.38,364723010.60,1662832966.39,1942195241.76,1792017332.39,199229973.19,268715706.09,2624079748.19,336321964.95,5496729594.50,196041250.18,838184605.94,308027439.94,124950194335.34,897978144924.00,155105890037.04,9627114106.79,3132767242.26,6037818007.05,6569171355.58,5962188020.19,59988856587.46,16968239366.91,889764976.00,1468890637.08,1325314242464.52
2023,5470540080.58,12940597488.94,2975552404.30,411209789.90,9880004.53,563969914.74,2301958504.35,2720028678.82,3325282366.23,196536893.24,214036271.15,2975552404.30,429678936.54,4303486348.20,154912102.96,1403307017.40,328780388.37,206306797614.10,1624271446810.50,161193731539.82,9615638471.68,2932416116.31,7077944918.85,6738773092.37,3800442625.82,63403018430.04,24208990577.04,690731951.12,1085678722.85,2152050920465.05
2024,4578481802.97,15508318463.01,2920783912.01,386913842.63,8626014.06,545185268.47,2277812349.22,4351249341.51,4026213367.04,168485308.18,179638162.15,2920783912.01,668822349.25,4683367150.61,137124912.20,2557994238.09,213721893.27,377681119975.67,2345326484128.50,198791910277.97,11788093648.51,4100034374.59,12717990762.66,9211691968.56,3931792124.75,82949513339.02,18212863000.47,495315606.71,2215579872.59,3113555911366.65
2025,3759623382.07,18964576539.01,3105635552.70,329985644.75,8692737.47,844422248.25,4667363472.50,6396032758.47,5836242913.83,218792607.08,266799919.70,3105635552.70,912087492.73,7204827120.09,177215110.86,1646329098.88,196562981.36,449749496721.34,2449769940229.50,184652425886.61,13226694224.36,3608048770.27,20679801448.28,10235010901.85,4561008367.10,153413710226.19,18436998472.68,451844295.99,1721795650.88,3368147600327.50
