index,Toei Animation,Bandai Namco Holdings,Kadokawa Corporation,Avex Group (Anime Music / Production),Bushiroad (Media Mix / Anime IP),TV Tokyo Holdings,Fuji Media Holdings,Nippon TV Holdings (Owns Studio Ghibli),Tokyo Broadcasting System (TBS),Asahi Broadcasting Group,WOWOW (Anime channel),Kadokawa Pictures (covered by Kadokawa),Happinet (anime distributor),Square Enix Holdings,Media Do (digital manga),Takara Tomy,Pony Canyon,Netflix (Anime Production),Amazon (Anime Licensing),Disney (Anime streaming),Rakuten (Rakuten TV),Sega Sammy Holdings,Konami Group,Capcom,Koei Tecmo,SoftBank Group,LINE Yahoo Japan (Z Holdings),GREE (anime mobile games),DeNA (anime mobile games),TotalValue
2005Q1,28195189998.00,1408026876825.00,,64010123412.00,,92924638790.00,529316282660.00,414871824288.00,327673596250.00,43670189475.00,51999424435.00,,20716822939.50,395416455658.69,,84214484095.00,8883290220.00,656785122.75,18317685379.53,50598916982.32,2024307284615.00,685471919600.00,322624698480.00,54743196478.50,92355761075.82,1049468910353.94,4298829196422.50,,88196469375.79,12155490022932.34
2005Q2,32894388331.00,1450105840960.00,,65965279904.00,,79212263725.00,449814232300.00,373533163992.00,287851063500.00,40828492935.00,44631658575.00,,25031455380.00,406233319588.69,,78303916082.00,19670142630.00,993351480.93,17686962471.76,44346701198.28,1924715696281.00,714909364000.00,317202434640.00,55109196837.00,100832859573.75,1032848333475.00,3990546624567.50,,115819808774.21,11669086551202.12
2005Q3,42224681712.52,407842267770.00,,84071729156.00,,98249832990.00,531408441880.00,432446943336.00,413119581875.00,50565482550.00,51432673215.00,,27556558335.00,377388349108.69,,84436685900.00,17449320075.00,1573258853.88,24213340386.36,42497453077.23,1879249971172.00,941998220800.00,346347102780.00,65357206875.00,106632970476.34,1495849310550.00,4555731339635.00,,98477800481.85,12176120522990.87
2005Q4,61974936615.05,372021214036.08,,128785308060.00,,107302663130.00,621371288340.00,448784377944.00,501701200000.00,66361972140.00,37122204910.00,,32936125500.00,397820232541.31,,95102372540.00,15545757885.00,1638026278.86,25202185061.53,42215661784.73,2468139363060.00,830556467000.00,351769366620.00,72415785217.50,99137435795.95,3547299793590.00,6131397818005.00,,126720488813.69,16583322044868.71
2006Q1,51691181663.00,347852757011.92,,142811430720.00,,126473362250.00,615094810680.00,427743742464.00,495429935000.00,62475534225.00,37547268325.00,,37766757240.00,365369618744.34,,75281971534.00,13705647768.00,1754857783.36,19525680165.99,49119517804.45,2316586946030.00,1005078458800.00,401925307140.00,63213490489.50,84860216199.91,2457466724475.00,4918819702042.00,,130808255736.31,14248403174291.78
2006Q2,46310941132.52,375258057431.08,,114971702410.00,,97451053860.00,531408441880.00,385414934616.00,431933376875.00,62893430775.00,34288448810.00,,27556558335.00,286045949924.34,,75193090812.00,9010194366.00,1647106844.11,20674877928.39,52835622171.51,1472223479720.00,891534030400.00,342280404900.00,71736070266.00,82004771261.15,1827073086457.50,4151538634314.00,,130808255736.31,11522092521225.92
2006Q3,34801308354.48,400721212301.00,,106045987990.00,,117420532110.00,558606511740.00,399524537232.00,431933376875.00,67030606620.00,33438321980.00,,24592307040.00,344336835105.00,,72971072762.00,10099454952.50,1378947865.47,17168486342.75,54438305465.49,1002410986927.00,799016348000.00,406669788000.00,89722373598.00,77632375181.30,1741595982997.50,3045146737545.50,,120403049400.00,9957105446384.99
2006Q4,33439223959.52,376552794789.08,,81053987614.00,,128603439930.00,569067307840.00,437150144208.00,622423051250.00,67949979030.00,47890478090.00,,20881503567.00,374984616240.00,,71548981210.00,8121865344.00,1565390091.42,21091796719.84,60355891961.46,1201594163595.00,674958546600.00,488003745600.00,112152966997.50,81647841281.02,1648995787582.50,3247243090206.00,,144929596500.00,10522206190206.36
2007Q1,44948853620.00,396837000227.00,,81394014830.00,,148839177890.00,571159467060.00,480964173384.00,683567885000.00,71460310050.00,52991239070.00,,17379295555.50,365369618744.34,,66838302944.00,6302905918.00,1403765955.64,21268185243.24,60637683253.96,1214584370769.00,578235515000.00,427003277400.00,88467515226.00,83075566299.28,2158296862365.00,2784819232423.50,,141585067350.00,10547429285578.47
2007Q2,46310941132.52,419926496282.08,,71023184742.00,,116888012690.00,518855486560.00,416357045616.00,591066726250.00,74427375555.00,46898663455.00,,18839463786.00,373782727798.69,,72260026986.00,6085054058.89,1173738607.61,36565884293.81,60949760112.79,898489329535.00,419483582700.00,382947383700.00,120257260650.00,104134465713.23,1894742460030.00,2867027918251.50,,159050937263.69,9717543925769.81
2007Q3,41543636397.48,360368577814.08,,63797606402.00,,114757935010.00,483288779820.00,366107057352.00,504836832500.00,73131896250.00,32304819540.00,,15688574446.50,456712017928.69,,54128359698.00,4084198561.19,1256065555.29,49789678828.34,61396082324.29,975348055314.50,321709213800.00,424292145480.00,138557278575.00,144378368126.61,1510095494460.00,2980064861265.00,,188408475450.00,9366046010898.97
2007Q4,33098701302.00,376984347566.92,,59632273006.00,,109965260230.00,387049455700.00,371057795112.00,376275900000.00,75179589345.00,31171317100.00,,17939209689.00,411040829340.00,,73326595650.00,4280899729.31,1611394778.08,49517080236.71,57629121769.57,1190768990950.00,292902571780.00,496137141360.00,149275860502.50,116805492752.07,1645434241605.00,3425361909500.00,,200671749000.00,9953117728004.16
2008Q1,28331399684.52,291315905550.00,,45436136738.00,,118219311240.00,307547405340.00,336897704568.00,373140267500.00,65776916970.00,15160595135.00,,16797424005.00,418252071960.00,,65682853558.00,3088000886.00,2097475073.51,38110620690.91,56022362489.21,1292525613813.00,221832170300.00,508337235000.00,177771602700.00,91909594777.34,1287142716268.50,3548674938242.00,,233373802727.38,9543444125216.37
2008Q2,27922773742.52,259379044133.96,,50451538174.00,,105172585450.00,334745475200.00,300509782032.00,315914974375.00,68117137650.00,25645492705.00,,16039893118.50,377388349108.69,,60794413848.00,5076165840.00,1578102150.35,39195677983.05,55701013357.27,1160458507544.00,194707667960.00,502914971160.00,162085873050.00,86555639977.70,1275033459945.00,2801946041971.00,,232630592172.62,8459965172648.66
2008Q3,32826285046.52,247079039232.96,,39230640046.00,,113692896170.00,282859926544.00,246299203560.00,281423016875.00,46177568775.00,18830309284.50,,15974020867.50,367773373620.00,,63016431898.00,3807124380.00,1869265555.97,38891005970.36,54790515637.19,1264380164936.00,198492482240.00,353124932580.00,156073010017.50,73170742783.09,956631249556.50,2308693927003.00,,153105116736.31,7318212249315.39
